,Question,Question_type,Question_Subtype,Alpha,Number of Pairable Elements
0,T1.Q1,cl,T1.Q1.A1,0.21019130178515877,379
1,T1.Q1,cl,T1.Q1.A2,0.008926765298146289,379
2,T1.Q1,cl,T1.Q1.A3,0.16752661089110943,379
3,T1.Q2,cl,T1.Q2.A8,0.0005221386800333683,137
4,T1.Q2,cl,T1.Q2.A3,0.07905511811023624,137
5,T1.Q2,cl,T1.Q2.A9,0.08756912943515816,137
6,T1.Q2,cl,T1.Q2.A6,0.03340440653873489,137
7,T1.Q2,cl,T1.Q2.A1,0.06689722736983739,137
8,T1.Q2,cl,T1.Q2.A2,-0.025345181134655004,137
9,T1.Q2,cl,T1.Q2.A4,0.040877628313961134,137
10,T1.Q2,cl,T1.Q2.A7,0.06798245614035092,137
11,T1.Q2,cl,T1.Q2.A5,0.06681165724227933,137
12,T1.Q8,mc,ordinal,0.13905618090209415,139
13,T1.Q9,mc,nominal,0.05326450481175238,379
14,T1.Q12,mc,ordinal,0.15015094028171772,379
15,T1.Q13,mc,ordinal,0.033136711920013884,379
16,T1.Q14,mc,ordinal,-0.0016592887729971473,379
17,T1.Q4,mc,ordinal,0.13992877091981604,74
18,T1.Q10,mc,ordinal,0.12271907006150373,137
19,T1.Q11,mc,ordinal,0.027971037149836064,137
20,T1.Q5,mc,ordinal,0.42758458348799944,31
21,T1.Q6,mc,nominal,0.0,17
